"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"842194","ADO74   ","Japan","1586516518","1586516518","140.0756","35.3182","1394.46","FALSE","128.91","254.97","-2.28",NA,"1417.32","0405","FALSE","0"
"a1fb3e","KFS2711 ","United States","1586516477","1586516496","-95.9412","33.9123","2621.28","FALSE","140.14","253.36","-13.33",NA,"2590.8","6131","FALSE","0"
"3945e8","XK151RN ","France","1586516518","1586516518","8.7182","41.552","1417.32","FALSE","131.99","123.07","-5.85",NA,"1546.86","4761","FALSE","0"
"a46e40","DAL2455 ","United States","1586516446","1586516518","-85.7342","37.3748","11887.2","FALSE","218.81","198.65","0",NA,NA,"3117","FALSE","0"
"adeca5","AAL668  ","United States","1586516519","1586516519","-82.5605","28.6418","9761.22","FALSE","200.61","289.32","8.45",NA,"10157.46","1026","FALSE","0"
"ad9cc0","N9763R  ","United States","1586516519","1586516519","-97.6833","33.1003","937.26","FALSE","74.38","301.71","0.33",NA,"952.5","1200","FALSE","0"
"ac83d5","EDV4900 ","United States","1586516518","1586516519","-74.0219","40.9873","4099.56","FALSE","169.24","241.1","16.58",NA,"3779.52","1535","FALSE","0"
"e4941b","AZU8751 ","Brazil","1586516519","1586516519","-14.6128","30.2802","11582.4","FALSE","229.47","196.81","0",NA,"12085.32","3331","FALSE","0"
"3d36f5","DETBH   ","Germany","1586516519","1586516519","8.2525","51.7187","701.04","FALSE","58.97","35.77","-1.3",NA,"845.82","7742","FALSE","0"
"abad94","SWA1066 ","United States","1586516515","1586516519","-82.8201","28.7688","12192","FALSE","197.65","317","0.33",NA,"12656.82","7450","FALSE","0"
"4845c0","HNL43A  ","Kingdom of the Netherlands","1586516518","1586516518","4.5176","53.2406","472.44","FALSE","73.07","327.65","0",NA,"647.7","4343","FALSE","0"
"3c65ae","DLH357  ","Germany","1586516439","1586516441","98.4624","14.9645","8587.74","FALSE","242.31","297.71","2.93",NA,"9098.28","0706","FALSE","0"
"86cfa0","ANA740  ","Japan","1586516518","1586516518","135.7404","34.5118","1684.02","FALSE","99.82","345.68","-4.55",NA,"1767.84","0430","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586516514","1586516518","4.8277","52.6629","335.28","FALSE","61.62","95.64","0",NA,"475","7000","FALSE","3"
"3c5ee5","EWG6712 ","Germany","1586516519","1586516519","13.0991","49.8336","11887.2","FALSE","238.32","110.47","-0.33",NA,"11963.4","1000","FALSE","0"
"3c5ef6","EWG6714 ","Germany","1586516519","1586516519","18.6121","48.3485","11894.82","FALSE","242.11","113.68","0",NA,"11993.88","1000","FALSE","0"
"3c5ef5","EWG6GP  ","Germany","1586516519","1586516519","10.5454","48.7776","11590.02","FALSE","220.4","320.59","-0.33",NA,"11765.28","2263","FALSE","0"
"471ea6","WZZ25AW ","Hungary","1586516519","1586516519","19.1837","47.6781","4229.1","FALSE","165.39","5.53","17.88",NA,"4366.26","4216","FALSE","0"
"3d3806","DETLU   ","Germany","1586516172","1586516450","7.6288","50.2768","419.1","FALSE","37.51","312.22","-0.33",NA,"556.26","4451","FALSE","0"
"a8452f","PDT4866 ","United States","1586516363","1586516363","-75.2183","39.8761","167.64","FALSE","63.26","255.4","-2.28",NA,"15.24","2101","FALSE","0"
"a52bfb","EJA432  ","United States","1586516518","1586516518","-95.1821","45.3993","11887.2","FALSE","164.15","288.26","4.23",NA,"11734.8","3640","FALSE","0"
"ac491d","DAL867  ","United States","1586516518","1586516519","-83.9913","33.7182","1874.52","FALSE","106","222.05","-11.05",NA,"1836.42","5220","FALSE","0"
"a234d7","N241MP  ","United States","1586516519","1586516519","-77.7652","38.8992","1927.86","FALSE","66.49","201.8","-0.33",NA,"1729.74","2423","FALSE","0"
"a785fd","JIA5108 ","United States","1586516518","1586516519","-86.9515","32.582","12184.38","FALSE","164.63","270.54","0.33",NA,"12504.42","2655","FALSE","0"
"a85887","JBU493  ","United States","1586516518","1586516519","-77.5862","43.9056","10972.8","FALSE","224.43","271.97","0",NA,"10485.12","3526","FALSE","0"
"ae61fd","TORQE31 ","United States","1586516519","1586516519","53.2306","24.9721","8229.6","FALSE","178.75","87.03","0",NA,"8610.6","3231","FALSE","0"
"adf494","MTN8474 ","United States","1586516503","1586516507","-82.4254","39.6358","2164.08","FALSE","99.95","110.49","0",NA,"2026.92",NA,"FALSE","0"
"a58ded","UPS1038 ","United States","1586516518","1586516518","-71.6874","41.7852","1722.12","FALSE","152.42","81.46","-0.33",NA,"1424.94","5337","FALSE","0"
"8a0494","BTK6850 ","Indonesia","1586516513","1586516518","103.156","-1.8805","9151.62","FALSE","255.51","320.64","0",NA,"9784.08","3327","FALSE","0"
"861e9a","JAL331  ","Japan","1586516518","1586516519","133.0059","34.5725","12184.38","FALSE","210.2","257.56","0",NA,"12199.62","0436","FALSE","0"
"3d1276","DEFFY   ","Germany","1586516516","1586516518","9.5813","48.1146","1356.36","FALSE","64.78","167.62","-3.25",NA,"1485.9","7000","FALSE","0"
"8a0487","LNI982  ","Indonesia","1586516519","1586516519","102.7176","-1.007","10652.76","FALSE","243.41","313.89","-5.2",NA,"11391.9","6312","FALSE","0"
"344496","IBS3943 ","Spain","1586516302","1586516302","-13.178","31.0772","11582.4","FALSE","247.31","34.75","0",NA,"12077.7","4445","FALSE","0"
"3c5efa","EWG6700 ","Germany","1586516519","1586516519","24.1814","43.235","11894.82","FALSE","244.75","122.55","0",NA,"11971.02","7103","FALSE","0"
"3d2550","DEMJO   ","Germany","1586516519","1586516519","8.1529","49.9707","129.54","TRUE","3.6","275.62",NA,NA,NA,"7000","FALSE","0"
"86d5e5","APJ218  ","Japan","1586516519","1586516519","135.211","34.4051","45.72","FALSE","59.62","50.95","-3.25",NA,"175.26","7352","FALSE","0"
"4248e8","SDM6461 ","United Kingdom","1586516519","1586516519","39.6422","59.9438","10668","FALSE","231.39","95.1","0.33",NA,"10195.56","0747","FALSE","0"
"abad6c","SWA2718 ","United States","1586516519","1586516519","-88.9215","33.0913","12192","FALSE","172.53","260.73","-0.33",NA,"12473.94","0153","FALSE","0"
"471f91","WZZ6373 ","Hungary","1586516519","1586516519","19.9995","51.7609","10972.8","FALSE","196.32","337.67","0",NA,"10988.04","1731","FALSE","0"
"7809a5","CCA840  ","China","1586516519","1586516519","10.7472","45.6593","10972.8","FALSE","239.96","50.13","0",NA,"11186.16","0460","FALSE","0"
"aae270","MTN8327 ","United States","1586516319","1586516359","-85.5984","39.7487",NA,"FALSE","110.29","259.79","-5.2",NA,NA,"4221","TRUE","0"
"a03ce6","AAL439  ","United States","1586516454","1586516454","-81.7815","37.3462","9159.24","FALSE","195.39","174.41","0",NA,NA,NA,"FALSE","0"
"a8f75b","SKQ66   ","United States","1586516519","1586516519","-83.8801","35.7725","1203.96","FALSE","111.49","259.36","0",NA,"1181.1",NA,"FALSE","0"
"a8943d","AAL1928 ","United States","1586516480","1586516485","-85.2346","36.012","7620","FALSE","301.67","95.19","0",NA,"7620","4720","FALSE","0"
"a2362a","ASQ3960 ","United States","1586516519","1586516519","-82.6678","42.4132","10363.2","FALSE","200.17","277.23","0",NA,"9928.86","4171","FALSE","0"
"7c7193","POL62   ","Australia","1586516316","1586516341","115.6976","-32.2297","53.34","FALSE","43.77","240.42","0",NA,"30.48","0062","FALSE","0"
"7809fe","B8263   ","China","1586516519","1586516519","126.0488","35.4539","11582.4","FALSE","233.82","194.01","-0.65",NA,"11681.46","4120","FALSE","0"
"a4bf70","KII837  ","United States","1586516519","1586516519","-88.8072","37.9894","9753.6","FALSE","168.12","254.56","0.33",NA,"9677.4","6601","FALSE","0"
"4ba285","TCHTE   ","Turkey","1586515210","1586516518","32.6447","40.0645","1684.02","FALSE","43.41","95.44","3.25",NA,NA,"4302","FALSE","0"
"4ba284","TCHTD   ","Turkey","1586516265","1586516394","32.5893","40.0513","1592.58","FALSE","41.92","209.4","-1.63",NA,"1059.18","4301","FALSE","0"
"a45c48","N380LD  ","United States","1586516225","1586516225","4.4384","51.9485",NA,"TRUE","0","320.62",NA,NA,NA,"7000","FALSE","0"
"a533ca","UPS9812 ","United States","1586516519","1586516519","-71.5191","41.697","1402.08","FALSE","115.27","260.5","2.6",NA,"1120.14","3441","FALSE","0"
"a40cd9","FFT428  ","United States","1586516497","1586516497","-81.9878","33.0883","8229.6","FALSE","198.67","1.78","0",NA,"8389.62",NA,"FALSE","0"
"800407","SEJ7104 ","India","1586516518","1586516519","88.4586","22.7473","464.82","FALSE","71.92","186.16","-4.55",NA,"457.2","1000","FALSE","0"
"c2b37d","CFC4165 ","Canada","1586516519","1586516519","19.5104","48.4154","10660.38","FALSE","254.42","122.95","0",NA,"10767.06","1143","FALSE","0"
"a71337","JIA5119 ","United States","1586516518","1586516519","-83.2154","42.0621","10477.5","FALSE","276.54","116.28","4.88",NA,"10104.12","1350","FALSE","0"
"a7e9e4","NKS565  ","United States","1586516518","1586516518","-84.9247","39.1741","11582.4","FALSE","230.72","199.4","0",NA,"11437.62","6730","FALSE","0"
"abadf9","SWA4703 ","United States","1586516519","1586516519","-84.839","35.2714","12192","FALSE","206.43","348.35","-0.65",NA,"12298.68","2041","FALSE","0"
"a546c9","RPA4695 ","United States","1586516519","1586516519","-93.2713","37.425","10721.34","FALSE","273.42","130.19","4.88",NA,"10843.26","1753","FALSE","0"
"a76192","AMF1326 ","United States","1586516519","1586516519","-79.3253","40.4566","6408.42","FALSE","153.92","70.47","0",NA,"6035.04","3626","FALSE","0"
"4ba28d","TCHTM   ","Turkey","1586516519","1586516519","32.7431","40.186","1645.92","FALSE","43.99","10.78","0",NA,"1691.64","4303","FALSE","0"
"a69c03","FDX32   ","United States","1586516519","1586516519","-75.7937","39.9759","10058.4","FALSE","298.2","71.6","-0.33",NA,"9677.4","2124","FALSE","0"
"a413f8","ABX922  ","United States","1586516519","1586516519","-90.6595","33.9344","10972.8","FALSE","189.05","220.36","0",NA,"11216.64","4034","FALSE","0"
"4846de","V5      ","Kingdom of the Netherlands","1586516505","1586516505","4.7431","52.3048",NA,"TRUE","8.75","25.31",NA,NA,NA,NA,"FALSE","0"
"ac71e7","AAL1977 ","United States","1586516518","1586516519","-81.1381","26.0907","6225.54","FALSE","182.15","142","-4.88",NA,"6530.34","0037","FALSE","0"
"4846cf","","Kingdom of the Netherlands","1586516448","1586516448","4.7927","52.3044",NA,"TRUE","4.37","286.88",NA,NA,NA,NA,"FALSE","0"
"3c171b","IFA1176 ","Germany","1586516519","1586516519","20.7335","46.7079","12192","FALSE","227.17","291.8","0.33",NA,"12268.2","3207","FALSE","0"
"4846e0","V7      ","Kingdom of the Netherlands","1586516372","1586516372","4.7485","52.3011",NA,"TRUE","6.94","129.38",NA,NA,NA,NA,"FALSE","0"
