"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"3c4048","FMG     ","Germany","1586510799","1586510799",13.5204,52.3761,NA,"TRUE","9.77","247.5",NA,NA,NA,NA,"FALSE","0"
"aa8c39","UAL481  ","United States","1586510799","1586510799",-88.4682,42.3131,"3345.18","FALSE","196.95","129.59","0",NA,"3200.4","6717","FALSE","0"
"acf9bd","N935RK  ","United States","1586510799","1586510799",-89.5429,43.7175,"12192","FALSE","198.32","296.83","-0.33",NA,"11963.4","6517","FALSE","0"
"a4b228","UPS992  ","United States","1586510663","1586510663",-98.2009,44.0278,"9753.6","FALSE","214.8","289.74","0",NA,"9730.74","3435","FALSE","0"
"a33b23","UPS492  ","United States","1586510799","1586510799",-92.0742,41.8479,"10363.2","FALSE","195.12","295.62","0",NA,"10172.7","6641","FALSE","0"
"3c4071","FF      ","Germany","1586510715","1586510715",8.5661,50.0448,NA,"TRUE","2.83","312.19",NA,NA,NA,NA,"FALSE","0"
"aa0955","FDX1486 ","United States","1586510799","1586510799",-83.5222,39.4527,"3703.32","FALSE","191.4","52.21","-4.88",NA,"3505.2","1662","FALSE","0"
"ac498c","FDX19   ","United States","1586510798","1586510798",130.0909,33.4124,"9144","FALSE","207.59","251.21","0",NA,"9258.3","6053","FALSE","0"
"aaef89","AAL2244 ","United States","1586510799","1586510799",-88.0417,29.4161,"10675.62","FALSE","271.06","117.59","0",NA,"11109.96",NA,"FALSE","0"
"ddec9e","","","1586510798","1586510798",8.2041,47.189,NA,"FALSE","20.06","-24.06","0",NA,"700",NA,"FALSE","3"
"0d0ae3","XAFUF   ","Mexico","1586510618","1586510621",-10.7933,57.5045,"12184.38","FALSE","218.46","319.11","0",NA,"12214.86","5762","FALSE","0"
"3c65c3","DLH5KY  ","Germany","1586510799","1586510799",9.6824,50.5102,"3048","FALSE","152.77","244.04","0.33",NA,"3208.02","1000","FALSE","0"
"3c65c2","DLH7C   ","Germany","1586510799","1586510799",8.2213,49.2773,"4792.98","FALSE","182.19","344.94","-10.08",NA,"5006.34","1000","FALSE","0"
"4845b6","","Kingdom of the Netherlands","1586510785","1586510799",5.3443,52.6967,"304.8","FALSE","61.4","63.59","-1",NA,"463","7000","FALSE","3"
"3c65d0","DLH8UT  ","Germany","1586510799","1586510799",8.778,50.5778,"4053.84","FALSE","155.95","218.57","-5.2",NA,"4236.72","1341","FALSE","0"
"3c65d1","DLH8V   ","Germany","1586510798","1586510799",9.3909,49.575,"4739.64","FALSE","159.12","289.26","-5.2",NA,"4945.38","1000","FALSE","0"
"ae146c","RCH801  ","United States","1586510762","1586510798",-6.3447,48.2285,"10972.8","FALSE","230.04","259.04","0",NA,"11209.02","7555","FALSE","0"
"3c5ee4","EWG9824 ","Germany","1586510798","1586510799",7.5309,51.0459,"6362.7","FALSE","216.46","155.87","14.31",NA,"6507.48","1000","FALSE","0"
"a34291","UPS1058 ","United States","1586510799","1586510799",-73.555,42.4009,"8595.36","FALSE","263.14","70.11","-10.73",NA,"8046.72","4067","FALSE","0"
"3b7b3f","MILAN76 ","France","1586510799","1586510799",4.6128,43.696,"411.48","FALSE","114.73","277.73","1.63",NA,"548.64","4530","FALSE","0"
